what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1348071691994
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1348071691995
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1348071691995
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1348071691995
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1348071691995
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1348071691996
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1348071691996
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1348071691996
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1348071691997
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1348071691997
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1348071691997
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1348071691998
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1348071691998
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1348071691998
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1348071691998
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1348071691999
started,bundle,com.python.pydev.analysis,2.6.0.2012062818,"com.python.pydev.analysis",1348071691999
started,bundle,org.python.pydev,2.6.0.2012062818,"org.python.pydev",1348071691999
started,bundle,org.python.pydev.core,2.6.0.2012062818,"org.python.pydev.core",1348071691999
started,bundle,org.python.pydev.debug,2.6.0.2012062818,"org.python.pydev.debug",1348071691999
started,bundle,org.python.pydev.parser,2.6.0.2012062818,"org.python.pydev.parser",1348071691999
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1348071692000
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1348071692000
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1348071692000
os,sysinfo,,,"linux",1348071692002
arch,sysinfo,,,"x86_64",1348071692002
ws,sysinfo,,,"gtk",1348071692002
locale,sysinfo,,,"en_US",1348071692002
processors,sysinfo,,,"8",1348071692002
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1348071692002
java.runtime.version,sysinfo,,,"1.7.0_03-b147",1348071692002
java.specification.name,sysinfo,,,"Java Platform API Specification",1348071692002
java.specification.vendor,sysinfo,,,"Oracle Corporation",1348071692002
java.specification.version,sysinfo,,,"1.7",1348071692002
java.vendor,sysinfo,,,"Oracle Corporation",1348071692002
java.version,sysinfo,,,"1.7.0_03",1348071692002
java.vm.info,sysinfo,,,"mixed mode",1348071692002
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1348071692002
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348071692002
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1348071692002
java.vm.specification.version,sysinfo,,,"1.7",1348071692002
java.vm.vendor,sysinfo,,,"Oracle Corporation",1348071692002
java.vm.version,sysinfo,,,"22.0-b10",1348071692002
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1348071693054
error,log,,,"Unhandled event loop exception",1348071693299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348071694609
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1348071699598
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348071699599
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348071700374
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1348071702936
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348071712316
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348071712409
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348071712433
started,bundle,org.eclipse.wst.server.core,1.1.208.v20111005_1734,"org.eclipse.wst.server.core",1348071715740
