what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348072608804
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348078566217
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348078566251
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348078570774
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348078570807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348078822794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348080296236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348080322439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348092906194
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348092911507
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348092911574
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348092911574
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1348092912274
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348092914701
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348092916601
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1348092916601
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348092918016
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348092918677
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348092918677
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348092924125
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348092937373
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348092939809
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348092947806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348092950687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093179431
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348093179525
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348093179611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093184978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093205307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348093218698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348093228536
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348093229836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348093231460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348093231884
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348093232301
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348093232684
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348093246238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093254429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093274501
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348093274597
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348093274666
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348093276976
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348093278631
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348093278650
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348093280126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1348093282851
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348093284821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348093289950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348093292989
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348093294277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093300960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093301179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093309591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093309857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093338365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093338560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093342072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093342295
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093344679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093344907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093357905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093401539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348093406039
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1348093408137
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348093415104
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.203.v201109140236,"org.eclipse.wst.ws.service.policy.ui",1348093415140
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1348093415145
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1348093415203
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1348093415215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093424572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093506019
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093508152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348093542346
