what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1349206399569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349206404981
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349206416278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206422150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206423356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1349206459794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349206489580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1349206506353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349206518146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349206531957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349206545513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349206565771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206568521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206569651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1349206630242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349206633866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349206635116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206639604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206641064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206648537
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1349206653038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206653060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206655979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206657729
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349206667498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206683671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206686805
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1349206688303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206825625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206827221
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349206833693
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349206885600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206986527
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206993312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349206995362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349207114286
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349207117275
