what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1349797363630
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349797366680
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797373530
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797405990
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797412277
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797416076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349797435156
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349797645745
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349797645771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349797670271
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797670292
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797675584
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349797705622
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797712516
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797719174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349797721253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349797721606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349797722822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349797773820
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349797778489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349797781279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349797796232
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349797806923
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1349797835570
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349797841931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349797843913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349797860555
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349797860573
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797868986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349797878510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349797937654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349798036390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349798043567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349798142713
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349798151134
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1349798158040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349798172222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349798191275
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349798192831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1349798197525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349798200230
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349798201221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349798212838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349798224515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349798270438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349798669236
