07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-41.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-47.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-51.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-48.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-40.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-37.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-42.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-45.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-59.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-90.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-43.htm
07-05 11:32:32.768   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-138.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-52.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-116.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-55.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-53.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-64.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-54.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-63.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-76.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-124.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-57.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-58.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-56.htm
07-05 11:32:32.772   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-113.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-60.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-68.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-92.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-126.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-147.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-118.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-137.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-72.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-93.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-61.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-82.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-119.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-79.htm
