04-16 17:37:58.714   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-16 17:37:58.714   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-16 17:37:58.722   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-16 17:37:58.902    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:38:34.706   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:38:34.714   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:6b:f1 reason=0
04-16 17:38:34.714    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:38:51.554   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:66:6b:f1 (SSID='UB_Secure' freq=2437 MHz)
04-16 17:38:51.609   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:66:6b:f1
04-16 17:38:51.609   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:38:51.617   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-16 17:38:51.624   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-16 17:38:51.624   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-16 17:38:51.640    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:38:51.667   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-16 17:39:26.554  1081 25308 V PicasaContentProvider: querySettings: defaults: {sync_on_wifi_only=1, auto_upload_account_type=null, sync_on_battery=1, sync_picasa_on_wifi_only=1, auto_upload_enabled=0, video_upload_wifi_only=1, sync_on_roaming=0, auto_upload_account_name=null}
04-16 17:39:26.585  1081  1083 D dalvikvm: GC_CONCURRENT freed 380K, 13% free 10085K/11527K, paused 15ms+7ms
04-16 17:39:27.507   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:39:27.511    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:39:27.515   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:6b:f1 reason=0
04-16 17:39:27.941   974  1149 I PhoneLab-: Service Running
04-16 17:39:27.999   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1072  c00f1758 400c6794 S logcat
04-16 17:39:27.999   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-16 17:39:27.999   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-16 17:39:27.999   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-16 17:39:27.999   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-16 17:39:27.999   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-16 17:39:28.777   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:66:69:21 (SSID='UB_Secure' freq=2437 MHz)
04-16 17:39:28.808   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:66:69:21
04-16 17:39:28.812   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:39:28.816   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-16 17:39:28.824   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-16 17:39:28.824   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-16 17:39:28.835   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-16 17:39:28.894  1081  1083 D dalvikvm: GC_CONCURRENT freed 318K, 12% free 10156K/11527K, paused 7ms+4ms
04-16 17:39:28.902    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:39:29.152   764   766 D dalvikvm: GC_CONCURRENT freed 519K, 13% free 10562K/12039K, paused 2ms+4ms
04-16 17:39:29.363   764   766 D dalvikvm: GC_CONCURRENT freed 413K, 13% free 10540K/12039K, paused 2ms+7ms
04-16 17:39:29.597   764   766 D dalvikvm: GC_CONCURRENT freed 410K, 13% free 10521K/12039K, paused 2ms+3ms
04-16 17:39:29.796   764   766 D dalvikvm: GC_CONCURRENT freed 374K, 13% free 10540K/12039K, paused 1ms+3ms
04-16 17:39:29.968   764   766 D dalvikvm: GC_CONCURRENT freed 403K, 13% free 10553K/12039K, paused 2ms+6ms
04-16 17:39:30.175   764   766 D dalvikvm: GC_CONCURRENT freed 388K, 12% free 10611K/12039K, paused 2ms+3ms
04-16 17:39:30.421  1081  1083 D dalvikvm: GC_CONCURRENT freed 456K, 13% free 10101K/11527K, paused 2ms+2ms
04-16 17:39:30.456   764 25310 W Gmail   : Successful index run, cancel next scheduled index run
04-16 17:39:33.289  1081  1083 D dalvikvm: GC_CONCURRENT freed 341K, 12% free 10159K/11527K, paused 1ms+3ms
04-16 17:39:33.449  1081  1083 D dalvikvm: GC_CONCURRENT freed 429K, 13% free 10129K/11527K, paused 5ms+3ms
04-16 17:39:33.609  1081  1083 D dalvikvm: GC_CONCURRENT freed 388K, 12% free 10147K/11527K, paused 2ms+4ms
04-16 17:39:34.699  1081  1083 D dalvikvm: GC_CONCURRENT freed 472K, 13% free 10063K/11527K, paused 14ms+3ms
04-16 17:39:37.882  1081  1083 D dalvikvm: GC_CONCURRENT freed 322K, 13% free 10127K/11527K, paused 23ms+2ms
04-16 17:39:39.367  1081  1083 D dalvikvm: GC_CONCURRENT freed 242K, 10% free 10380K/11527K, paused 14ms+6ms
04-16 17:39:39.667  1081  1083 D dalvikvm: GC_CONCURRENT freed 374K, 10% free 10396K/11527K, paused 2ms+3ms
04-16 17:39:39.941  1081  1083 D dalvikvm: GC_CONCURRENT freed 347K, 10% free 10437K/11527K, paused 2ms+4ms
04-16 17:39:40.160  1081  1083 D dalvikvm: GC_CONCURRENT freed 402K, 10% free 10423K/11527K, paused 1ms+4ms
04-16 17:39:41.335  1081  1083 D dalvikvm: GC_CONCURRENT freed 504K, 11% free 10342K/11527K, paused 2ms+6ms
04-16 17:39:41.476  1081  1083 D dalvikvm: GC_CONCURRENT freed 189K, 9% free 10552K/11527K, paused 2ms+3ms
04-16 17:39:41.624  1081  1083 D dalvikvm: GC_CONCURRENT freed 396K, 9% free 10553K/11527K, paused 2ms+3ms
04-16 17:39:41.792  1081  1083 D dalvikvm: GC_CONCURRENT freed 397K, 9% free 10557K/11527K, paused 2ms+3ms
04-16 17:39:41.956  1081  1083 D dalvikvm: GC_CONCURRENT freed 396K, 9% free 10559K/11527K, paused 2ms+3ms
04-16 17:39:42.773  1081  1083 D dalvikvm: GC_CONCURRENT freed 842K, 13% free 10121K/11527K, paused 3ms+2ms
04-16 17:39:43.289  1081  1083 D dalvikvm: GC_CONCURRENT freed 231K, 11% free 10297K/11527K, paused 20ms+4ms
04-16 17:39:43.980   473  1725 D dalvikvm: GC_FOR_ALLOC freed 366K, 11% free 9878K/11079K, paused 20ms
04-16 17:39:44.871   473   476 D dalvikvm: GC_CONCURRENT freed 174K, 9% free 10109K/11079K, paused 453ms+2ms
04-16 17:39:46.445  1081  1083 D dalvikvm: GC_CONCURRENT freed 588K, 13% free 10107K/11527K, paused 2ms+6ms
04-16 17:39:49.628  1081  1083 D dalvikvm: GC_CONCURRENT freed 378K, 13% free 10113K/11527K, paused 1ms+6ms
04-16 17:39:50.542   473  1283 D dalvikvm: GC_FOR_ALLOC freed 619K, 11% free 9864K/11079K, paused 20ms
04-16 17:39:50.605   473   476 D dalvikvm: GC_CONCURRENT freed 159K, 9% free 10111K/11079K, paused 2ms+3ms
04-16 17:39:52.007  1081  1083 D dalvikvm: GC_CONCURRENT freed 396K, 13% free 10103K/11527K, paused 13ms+3ms
04-16 17:39:52.195  1081  1279 D dalvikvm: GC_EXPLICIT freed 69K, 13% free 10047K/11527K, paused 7ms+3ms
04-16 17:40:04.714   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:40:04.718    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:40:04.726   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:69:21 reason=0
04-16 17:40:06.003   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:66:6b:f1 (SSID='UB_Secure' freq=2437 MHz)
04-16 17:40:06.089   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:66:6b:f1
04-16 17:40:06.089   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:40:06.097   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-16 17:40:06.101   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-16 17:40:06.101   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-16 17:40:06.109   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-16 17:40:06.113    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
