04-14 14:53:11.361   974 13003 I PhoneLab-PeriodicCheckService: Logger Service is running
04-14 14:53:11.365   974 13003 I PhoneLab-Locks: wake lock acquired
04-14 15:01:34.849   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:01:34.849   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:01:34.853   974   974 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-14 15:01:34.853   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:01:34.861   974   974 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-14 15:01:34.861   974   974 I PhoneLab-Locks: wake lock released
04-14 15:01:34.861   974   974 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-14 15:01:34.861   974   974 I PhoneLab-Locks: wake lock released
04-14 15:03:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:03:28.009   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:03:28.009   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:03:28.009   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:03:28.009   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:03:28.009   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:03:28.009   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:05:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:05:28.005   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:05:28.005   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:05:28.005   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:05:28.005   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:05:28.005   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:05:28.005   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:06:34.869   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:06:34.884   974   974 I PhoneLab-StatusMonitor: Status Monitoring is started
