06-22 14:12:16.218 26179 26182 D dalvikvm: GC_CONCURRENT freed 674K, 8% free 9705K/10503K, paused 9ms+3ms
06-22 14:12:16.218 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
06-22 14:12:16.222 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
06-22 14:12:16.222 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:465)
06-22 14:12:16.226 26179 26386 D Bible - E/Misc: 	js.a(SourceFile:124)
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: SUPP_PAE entering state RESTART
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state INITIALIZE
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state IDLE
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: SUPP_PAE entering state AUTHENTICATING
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: getSuppRsp
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: Received EAP-Request id=1 method=1 vendor=0 vendorMethod=0
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state IDENTITY
06-22 14:12:16.288   280   280 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state IDLE
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: txSuppRsp
06-22 14:12:16.288   280   280 D wpa_supplicant: TX EAPOL: dst=00:27:0d:e2:7d:12
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-22 14:12:16.292   280   280 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-22 14:12:16.292   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-22 14:12:16.292   280   280 D wpa_supplicant: EAPOL: getSuppRsp
06-22 14:12:16.292   280   280 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-22 14:12:16.292   280   280 D wpa_supplicant: EAP: Received EAP-Request id=2 method=4 vendor=0 vendorMethod=0
06-22 14:12:16.292   280   280 D wpa_supplicant: EAP: EAP entering state GET_METHOD
06-22 14:12:16.292   280   280 D wpa_supplicant: EAP: configuration does not allow: vendor 0 method 4
06-22 14:12:16.292   280   280 D wpa_supplicant: EAP: vendor 0 method 4 not allowed
06-22 14:12:16.292   280   280 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
06-22 14:12:16.292   280   280 D wpa_supplicant: EAP: Building EAP-Nak (requested type 4 vendor=0 method=0 not allowed)
06-22 14:12:16.292   280   280 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-22 14:12:16.292   280   280 D wpa_supplicant: EAP: EAP entering state IDLE
06-22 14:12:16.292   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-22 14:12:16.292   280   280 D wpa_supplicant: EAPOL: txSuppRsp
06-22 14:12:16.292   280   280 D wpa_supplicant: TX EAPOL: dst=00:27:0d:e2:7d:12
06-22 14:12:16.296   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-22 14:12:16.296   280   280 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-22 14:12:16.296   280   280 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-22 14:12:16.296   280   280 D wpa_supplicant: Wireless event: cmd=0x8c02 len=26
06-22 14:12:16.296   280   280 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-22 14:12:16.296   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-22 14:12:16.296   280   280 D wpa_supplicant: EAPOL: getSuppRsp
06-22 14:12:16.296   280   280 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-22 14:12:16.296   280   280 D wpa_supplicant: EAP: Received EAP-Request id=3 method=25 vendor=0 vendorMethod=0
06-22 14:12:16.296   280   280 D wpa_supplicant: EAP: EAP entering state GET_METHOD
06-22 14:12:16.296   280   280 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
06-22 14:12:16.296   280   280 D wpa_supplicant: EAP: Initialize selected EAP method: vendor 0 method 25 (PEAP)
06-22 14:12:16.296   280   280 D wpa_supplicant: TLS: using phase1 config options
06-22 14:12:16.296   280   280 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
06-22 14:12:16.296   280   280 D wpa_supplicant: EAP: EAP entering state METHOD
06-22 14:12:16.296   280   280 D wpa_supplicant: SSL: Received packet(len=6) - Flags 0x20
06-22 14:12:16.296   280   280 D wpa_supplicant: EAP-PEAP: Start (server ver=0, own ver=1)
